epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2106,0,112.765,0,0,0,0,0,0,124.35,0,5.001e-05,5.001e-05,5.001e-05
2,35.3884,0,110.781,0,0,0,0,0,0,124.473,0,0.000108988,0.000108988,0.000108988
3,51.2735,0,108.053,0,0,0,0,0,0,124.29,0,0.000159165,0.000159165,0.000159165
4,66.5628,0,103.519,0,0,0,0,0,0,126.141,0,0.00020054,0.00020054,0.00020054
5,81.7973,0,98.1623,0,0,0,0,0,0,128.596,0,0.000233113,0.000233113,0.000233113
6,97.1379,0,95.7429,0,0,0,0,0,0,128.478,0,0.000256885,0.000256885,0.000256885
7,112.431,0,93.4999,0,0,0,0,0,0,125.206,0,0.000271854,0.000271854,0.000271854
8,127.584,0,90.4763,0,0,0,0,0,0,122.035,0,0.000278022,0.000278022,0.000278022
9,142.616,0,87.4384,0,0,0,0,0,0,200.719,0,0.000275388,0.000275388,0.000275388
10,157.692,0,85.4839,0,0,0,0,0,0,145.092,0,0.000263953,0.000263953,0.000263953
11,172.787,0,86.4718,0,0,0,0,0,0,671.212,0,0.000243715,0.000243715,0.000243715
12,188.189,0,83.9894,0,0,0,0,0,0,1122.11,0,0.000214676,0.000214676,0.000214676
13,203.585,0,82.5514,0,0,0,0,0,0,337.329,0,0.000176835,0.000176835,0.000176835
14,219.568,0,82.0453,0,0,0,0,0,0,178.618,0,0.000130193,0.000130193,0.000130193
15,242.984,0,81.4896,0,0,0,0,0,0,135.8,0,7.47483e-05,7.47483e-05,7.47483e-05
